atc_A	atc_class_name_A	atc_B	atc_class_name_B	atc_C	atc_class_name_C	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
A02	Drugs for acid related disorders	C10	Lipid modifying agents	R03	Drugs for obstructive airway diseases	7702865	102762	0.0133	0.0045	1.766	1.28
C07	Beta blocking agents	C08	Calcium channel blockers	N02	Analgesics	7682515	51759	0.0067	0.0045	3.006	1.302
C07	Beta blocking agents	C10	Lipid modifying agents	R05	Cough and cold preparations	7657171	3822	5e-04	0.0045	1.919	1.006
N03	Antiepileptics	N06	Psychoanaleptics	R05	Cough and cold preparations	7593155	4416	6e-04	0.0045	3.529	2.121
A10	Drugs used in diabetes	C03	Diuretics	H03	Thyroid therapy	7581801	88052	0.0116	0.0045	1.81	1.52
J01	Antibacterials for systemic use	N02	Analgesics	N05	Psycholeptics	7528830	111281	0.0148	0.0044	1.874	1.137
A10	Drugs used in diabetes	C10	Lipid modifying agents	N03	Antiepileptics	7516941	132664	0.0176	0.0044	1.863	1.382
A02	Drugs for acid related disorders	N02	Analgesics	N03	Antiepileptics	7502382	55171	0.0074	0.0044	4.26	2.287
C08	Calcium channel blockers	N05	Psycholeptics	N06	Psychoanaleptics	7486018	144024	0.0192	0.0044	1.739	1.15
C03	Diuretics	R01	Nasal preparations	R03	Drugs for obstructive airway diseases	7484495	128918	0.0172	0.0044	3.879	1.069
C03	Diuretics	C08	Calcium channel blockers	H03	Thyroid therapy	7480460	147705	0.0197	0.0044	2.946	1.345
C10	Lipid modifying agents	G03	Sex hormones and modulators of the genital system	N06	Psychoanaleptics	7465990	449370	0.0602	0.0044	0.339	0.486
A02	Drugs for acid related disorders	N06	Psychoanaleptics	R05	Cough and cold preparations	7465137	4521	6e-04	0.0044	1.982	1.632
C10	Lipid modifying agents	J01	Antibacterials for systemic use	N06	Psychoanaleptics	7445080	164498	0.0221	0.0044	0.448	0.643
M01	Anti-inflammatory and antirheumatic products	N02	Analgesics	N06	Psychoanaleptics	7440725	193803	0.026	0.0044	2.549	1.206
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	G04	Urologicals	7429965	172925	0.0233	0.0044	2.974	1.894
B01	Antithrombotic agents	C10	Lipid modifying agents	N02	Analgesics	7301148	66951	0.0092	0.0043	3.266	1.389
C10	Lipid modifying agents	N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	7263958	105242	0.0145	0.0043	0.767	1.099
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	R05	Cough and cold preparations	7236564	2625	4e-04	0.0043	2.071	1.017
B01	Antithrombotic agents	C07	Beta blocking agents	N06	Psychoanaleptics	7234502	61277	0.0085	0.0043	3.218	0.829
C03	Diuretics	C07	Beta blocking agents	G04	Urologicals	7202839	122057	0.0169	0.0042	3.986	1.844
A02	Drugs for acid related disorders	G03	Sex hormones and modulators of the genital system	N06	Psychoanaleptics	7186331	478774	0.0666	0.0042	0.683	0.666
C10	Lipid modifying agents	G04	Urologicals	N06	Psychoanaleptics	7178479	219190	0.0305	0.0042	1.441	0.943
C09	Agents acting on the renin-angiotensin system	N02	Analgesics	N03	Antiepileptics	7176907	26994	0.0038	0.0042	2.224	1.194
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	N03	Antiepileptics	7175024	60302	0.0084	0.0042	2.296	1.128
A02	Drugs for acid related disorders	C10	Lipid modifying agents	J01	Antibacterials for systemic use	7174875	141486	0.0197	0.0042	0.938	0.68
C03	Diuretics	C07	Beta blocking agents	J01	Antibacterials for systemic use	7158490	127913	0.0179	0.0042	1.189	0.55
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	M04	Antigout preparations	7152318	285492	0.0399	0.0042	5.183	2.371
A02	Drugs for acid related disorders	C10	Lipid modifying agents	R01	Nasal preparations	7124322	143394	0.0201	0.0042	2.031	1.472
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	R06	Antihistamines for systemic use	7118685	215925	0.0303	0.0042	2.471	0.949
C07	Beta blocking agents	C10	Lipid modifying agents	R03	Drugs for obstructive airway diseases	7106972	71079	0.01	0.0042	1.482	0.777
C10	Lipid modifying agents	H03	Thyroid therapy	N05	Psycholeptics	7090428	176575	0.0249	0.0042	1.557	1.318
M03	Muscle relaxants	N05	Psycholeptics	N06	Psychoanaleptics	7079404	173222	0.0245	0.0042	5.032	2.178
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	S01	Ophthalmologicals	7066141	131560	0.0186	0.0042	2.27	1.245
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	N03	Antiepileptics	7030569	97034	0.0138	0.0041	1.99	1.267
N02	Analgesics	R05	Cough and cold preparations	R06	Antihistamines for systemic use	7028746	302904	0.0431	0.0041	9.233	1.687
B01	Antithrombotic agents	C03	Diuretics	C08	Calcium channel blockers	7026573	42657	0.0061	0.0041	6.609	2.525
B01	Antithrombotic agents	C01	Cardiac therapy	C09	Agents acting on the renin-angiotensin system	7009698	50361	0.0072	0.0041	21.869	2.52
C08	Calcium channel blockers	C10	Lipid modifying agents	G04	Urologicals	7000355	170140	0.0243	0.0041	4.048	2.252
H03	Thyroid therapy	N03	Antiepileptics	N06	Psychoanaleptics	6990906	342245	0.049	0.0041	2.507	1.58
A10	Drugs used in diabetes	N05	Psycholeptics	N06	Psychoanaleptics	6975667	165188	0.0237	0.0041	0.983	0.65
C08	Calcium channel blockers	N02	Analgesics	N06	Psychoanaleptics	6974603	55299	0.0079	0.0041	1.382	1.303
C03	Diuretics	C10	Lipid modifying agents	G03	Sex hormones and modulators of the genital system	6970597	150835	0.0216	0.0041	0.459	0.319
A02	Drugs for acid related disorders	C07	Beta blocking agents	H03	Thyroid therapy	6966165	120816	0.0173	0.0041	2.817	1.729
C03	Diuretics	C10	Lipid modifying agents	M01	Anti-inflammatory and antirheumatic products	6929568	77705	0.0112	0.0041	1.867	1.299
C10	Lipid modifying agents	N03	Antiepileptics	N05	Psycholeptics	6921309	100986	0.0146	0.0041	2.203	1.043
A10	Drugs used in diabetes	B01	Antithrombotic agents	C03	Diuretics	6903168	21832	0.0032	0.0041	3.937	2.112
J01	Antibacterials for systemic use	R01	Nasal preparations	R03	Drugs for obstructive airway diseases	6890497	770576	0.1118	0.0041	3.975	1.095
A02	Drugs for acid related disorders	N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	6866215	127538	0.0186	0.004	1.517	1.383
N02	Analgesics	R03	Drugs for obstructive airway diseases	R05	Cough and cold preparations	6862592	142100	0.0207	0.004	4.539	0.829
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	R06	Antihistamines for systemic use	6832121	112727	0.0165	0.004	1.698	0.931
A10	Drugs used in diabetes	C07	Beta blocking agents	N02	Analgesics	6803539	20872	0.0031	0.004	1.614	1.284
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	6796986	126118	0.0186	0.004	0.816	0.52
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	R03	Drugs for obstructive airway diseases	6790853	52263	0.0077	0.004	1.778	1.279
B01	Antithrombotic agents	C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	6765779	37480	0.0055	0.004	1.807	0.826
C07	Beta blocking agents	C10	Lipid modifying agents	R01	Nasal preparations	6756432	104639	0.0155	0.004	1.751	0.918
A02	Drugs for acid related disorders	C10	Lipid modifying agents	R05	Cough and cold preparations	6751847	4107	6e-04	0.004	1.861	1.349
A02	Drugs for acid related disorders	J01	Antibacterials for systemic use	N06	Psychoanaleptics	6749508	173251	0.0257	0.004	0.85	0.829
A10	Drugs used in diabetes	C10	Lipid modifying agents	J01	Antibacterials for systemic use	6718983	148851	0.0222	0.004	0.707	0.524
C03	Diuretics	C07	Beta blocking agents	R05	Cough and cold preparations	6697061	3983	6e-04	0.0039	2.344	1.084
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	S01	Ophthalmologicals	6688801	207676	0.031	0.0039	3	1.152
C10	Lipid modifying agents	N06	Psychoanaleptics	R01	Nasal preparations	6687257	145572	0.0218	0.0039	0.878	1.093
H02	Corticosteroids for systemic use	N02	Analgesics	R05	Cough and cold preparations	6684897	294253	0.044	0.0039	12.121	2.215
N05	Psycholeptics	N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	6652140	213617	0.0321	0.0039	1.517	1.003
C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	N06	Psychoanaleptics	6636463	83687	0.0126	0.0039	0.456	0.657
C03	Diuretics	N06	Psychoanaleptics	R05	Cough and cold preparations	6635188	1579	2e-04	0.0039	1.176	1.282
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	6630614	172245	0.026	0.0039	1.313	0.487
C03	Diuretics	C07	Beta blocking agents	N03	Antiepileptics	6629770	75153	0.0113	0.0039	2.594	1.2
C03	Diuretics	C08	Calcium channel blockers	N05	Psycholeptics	6589890	60307	0.0092	0.0039	2.219	1.013
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	G04	Urologicals	6584291	104836	0.0159	0.0039	3.277	1.987
N02	Analgesics	R01	Nasal preparations	R05	Cough and cold preparations	6555912	141145	0.0215	0.0039	5.39	0.985
C10	Lipid modifying agents	H03	Thyroid therapy	N02	Analgesics	6542769	53557	0.0082	0.0038	1.225	1.037
C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	N02	Analgesics	6496921	26937	0.0041	0.0038	0.854	0.877
M03	Muscle relaxants	N02	Analgesics	N03	Antiepileptics	6473187	114614	0.0177	0.0038	14.913	4.073
A02	Drugs for acid related disorders	N03	Antiepileptics	N05	Psycholeptics	6453479	95934	0.0149	0.0038	4.297	2.035
A10	Drugs used in diabetes	N02	Analgesics	N06	Psychoanaleptics	6447409	38721	0.006	0.0038	0.775	0.797
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	N03	Antiepileptics	6427773	41730	0.0065	0.0038	2.262	1.557
C10	Lipid modifying agents	N05	Psycholeptics	R05	Cough and cold preparations	6425030	1742	3e-04	0.0038	1.829	1.065
C09	Agents acting on the renin-angiotensin system	G03	Sex hormones and modulators of the genital system	N06	Psychoanaleptics	6423916	194160	0.0302	0.0038	0.333	0.479
C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	R05	Cough and cold preparations	6420185	35491	0.0055	0.0038	1.501	0.79
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	6407615	71345	0.0111	0.0038	0.957	0.688
C03	Diuretics	N02	Analgesics	N03	Antiepileptics	6401983	19559	0.0031	0.0038	2.426	1.302
G03	Sex hormones and modulators of the genital system	H03	Thyroid therapy	N06	Psychoanaleptics	6385403	793908	0.1243	0.0038	0.733	0.778
C10	Lipid modifying agents	J01	Antibacterials for systemic use	N02	Analgesics	6359831	36923	0.0058	0.0037	0.733	0.752
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	M04	Antigout preparations	6358515	252307	0.0397	0.0037	6.433	2.471
C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	6353339	53504	0.0084	0.0037	0.766	1.102
C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	R05	Cough and cold preparations	6307981	1157	2e-04	0.0037	2.05	1.194
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	R05	Cough and cold preparations	6298234	2265	4e-04	0.0037	1.982	1.426
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	R05	Cough and cold preparations	6290246	5071	8e-04	0.0037	2.626	0.973
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	R03	Drugs for obstructive airway diseases	6261287	39342	0.0063	0.0037	1.49	0.732
N05	Psycholeptics	N06	Psychoanaleptics	R01	Nasal preparations	6259490	235158	0.0376	0.0037	1.775	1.174
G03	Sex hormones and modulators of the genital system	N03	Antiepileptics	N06	Psychoanaleptics	6255473	634392	0.1014	0.0037	1.041	0.656
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	R01	Nasal preparations	6218744	63904	0.0103	0.0037	2.024	1.456
B01	Antithrombotic agents	C07	Beta blocking agents	N02	Analgesics	6209679	26563	0.0043	0.0037	5.283	1.361
C07	Beta blocking agents	C10	Lipid modifying agents	S01	Ophthalmologicals	6188674	216910	0.035	0.0036	3.312	1.736
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	R05	Cough and cold preparations	6163403	4316	7e-04	0.0036	1.56	0.993
C03	Diuretics	G03	Sex hormones and modulators of the genital system	N06	Psychoanaleptics	6152309	221639	0.036	0.0036	0.39	0.577
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	R03	Drugs for obstructive airway diseases	6149062	102521	0.0167	0.0036	2.135	0.791
B01	Antithrombotic agents	C09	Agents acting on the renin-angiotensin system	N02	Analgesics	6141734	24090	0.0039	0.0036	3.137	1.434
C10	Lipid modifying agents	J01	Antibacterials for systemic use	R05	Cough and cold preparations	6137118	50680	0.0083	0.0036	1.257	0.661
A02	Drugs for acid related disorders	N06	Psychoanaleptics	R01	Nasal preparations	6074923	135066	0.0222	0.0036	1.668	1.29
A02	Drugs for acid related disorders	B01	Antithrombotic agents	C03	Diuretics	6074458	18708	0.0031	0.0036	4.307	2.304
A10	Drugs used in diabetes	C10	Lipid modifying agents	R05	Cough and cold preparations	6030715	4838	8e-04	0.0035	1.337	0.992
B01	Antithrombotic agents	C01	Cardiac therapy	C03	Diuretics	6022959	31984	0.0053	0.0035	22.978	2.648
A02	Drugs for acid related disorders	N05	Psycholeptics	R05	Cough and cold preparations	6020941	1985	3e-04	0.0035	3.586	2.088
C03	Diuretics	C07	Beta blocking agents	R03	Drugs for obstructive airway diseases	6007235	53986	0.009	0.0035	1.749	0.809
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	R01	Nasal preparations	5992013	52786	0.0088	0.0035	1.773	0.871
C07	Beta blocking agents	N02	Analgesics	N03	Antiepileptics	5989542	46486	0.0078	0.0035	3.092	1.66
J01	Antibacterials for systemic use	N05	Psycholeptics	R05	Cough and cold preparations	5983396	35496	0.0059	0.0035	2.647	1.392
A02	Drugs for acid related disorders	C03	Diuretics	R03	Drugs for obstructive airway diseases	5962067	27904	0.0047	0.0035	1.909	1.47
A02	Drugs for acid related disorders	A10	Drugs used in diabetes	C08	Calcium channel blockers	5960966	34456	0.0058	0.0035	2.342	1.517
C07	Beta blocking agents	C08	Calcium channel blockers	H03	Thyroid therapy	5934822	111134	0.0187	0.0035	3.184	1.379
A02	Drugs for acid related disorders	C08	Calcium channel blockers	N02	Analgesics	5928729	22025	0.0037	0.0035	2.551	1.652
A10	Drugs used in diabetes	C07	Beta blocking agents	H03	Thyroid therapy	5899485	71650	0.0121	0.0035	1.919	1.462
C10	Lipid modifying agents	M01	Anti-inflammatory and antirheumatic products	N06	Psychoanaleptics	5894831	162798	0.0276	0.0035	1.096	1.173
A02	Drugs for acid related disorders	C10	Lipid modifying agents	G03	Sex hormones and modulators of the genital system	5874431	230219	0.0392	0.0035	0.58	0.42
C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	N02	Analgesics	5872600	25886	0.0044	0.0035	1.256	1.082
M01	Anti-inflammatory and antirheumatic products	N05	Psycholeptics	N06	Psychoanaleptics	5868758	249836	0.0426	0.0035	2.357	1.559
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	R01	Nasal preparations	5830173	113375	0.0194	0.0034	2.517	0.933
C03	Diuretics	J01	Antibacterials for systemic use	N06	Psychoanaleptics	5828597	66731	0.0114	0.0034	0.49	0.725
A02	Drugs for acid related disorders	J01	Antibacterials for systemic use	N02	Analgesics	5791637	47718	0.0082	0.0034	1.396	1.177
C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	N05	Psycholeptics	5780641	73018	0.0126	0.0034	1.449	1.249
M03	Muscle relaxants	N03	Antiepileptics	N06	Psychoanaleptics	5774674	119310	0.0207	0.0034	6.957	2.278
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	S01	Ophthalmologicals	5768828	113423	0.0197	0.0034	3.525	1.732
C07	Beta blocking agents	N06	Psychoanaleptics	R05	Cough and cold preparations	5752546	1917	3e-04	0.0034	1.389	1.423
C07	Beta blocking agents	C08	Calcium channel blockers	N05	Psycholeptics	5750451	67656	0.0118	0.0034	2.638	1.142
A10	Drugs used in diabetes	C08	Calcium channel blockers	N06	Psychoanaleptics	5746331	38984	0.0068	0.0034	1.04	0.784
C09	Agents acting on the renin-angiotensin system	G04	Urologicals	N06	Psychoanaleptics	5746118	82329	0.0143	0.0034	1.317	0.868
C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	R01	Nasal preparations	5746011	61803	0.0108	0.0034	0.861	1.001
A10	Drugs used in diabetes	C10	Lipid modifying agents	R03	Drugs for obstructive airway diseases	5717030	69458	0.0121	0.0034	1.054	0.782
H03	Thyroid therapy	N02	Analgesics	N05	Psycholeptics	5713651	54173	0.0095	0.0034	2.312	1.403
M03	Muscle relaxants	N06	Psychoanaleptics	R05	Cough and cold preparations	5711156	763	1e-04	0.0034	6.154	1.553
R01	Nasal preparations	R03	Drugs for obstructive airway diseases	R06	Antihistamines for systemic use	5710140	717333	0.1256	0.0034	11.469	3.16
C09	Agents acting on the renin-angiotensin system	N03	Antiepileptics	N05	Psycholeptics	5709538	47121	0.0083	0.0034	2.075	0.983
C03	Diuretics	N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	5675821	33732	0.0059	0.0033	0.837	1.19
B01	Antithrombotic agents	C10	Lipid modifying agents	H03	Thyroid therapy	5643717	83833	0.0149	0.0033	3.462	1.472
A02	Drugs for acid related disorders	C10	Lipid modifying agents	M01	Anti-inflammatory and antirheumatic products	5634544	162249	0.0288	0.0033	2.275	1.588
C03	Diuretics	H03	Thyroid therapy	N02	Analgesics	5622744	24196	0.0043	0.0033	1.47	1.234
B01	Antithrombotic agents	N02	Analgesics	R05	Cough and cold preparations	5621568	125740	0.0224	0.0033	8.235	1.505
N02	Analgesics	N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	5621564	66642	0.0119	0.0033	1.094	1.125
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	N03	Antiepileptics	5611721	88628	0.0158	0.0033	2.619	0.97
A02	Drugs for acid related disorders	C03	Diuretics	N03	Antiepileptics	5600973	22907	0.0041	0.0033	2.41	1.659
C03	Diuretics	C07	Beta blocking agents	R01	Nasal preparations	5600268	82397	0.0147	0.0033	2.027	0.937
C03	Diuretics	J01	Antibacterials for systemic use	N02	Analgesics	5569942	19083	0.0034	0.0033	0.896	0.919
M01	Anti-inflammatory and antirheumatic products	N02	Analgesics	N05	Psycholeptics	5554997	106440	0.0192	0.0033	4.267	2.019
A10	Drugs used in diabetes	N03	Antiepileptics	N06	Psychoanaleptics	5545640	95586	0.0172	0.0033	1.324	0.835
A10	Drugs used in diabetes	C03	Diuretics	N05	Psycholeptics	5544817	20656	0.0037	0.0033	1.132	0.989
A10	Drugs used in diabetes	H03	Thyroid therapy	N06	Psychoanaleptics	5542148	158400	0.0286	0.0033	0.913	0.969
G04	Urologicals	N02	Analgesics	R05	Cough and cold preparations	5535662	184796	0.0334	0.0033	6.96	1.272
G03	Sex hormones and modulators of the genital system	N02	Analgesics	N05	Psycholeptics	5531929	100155	0.0181	0.0033	1.038	0.63
