drug_concept_name	rxcui	atc	atc_class_name	drug_cost_per_day	UMLS_CUI	DrugBankID
tyloxapol	38998	R05CA01	Cough and cold preparations	NA	C0077539	DB06439
urofollitropin	134404	G03GA04	Sex hormones and modulators of the genital system	254.12	C0524639	DB00094
urokinase	11055	B01AD04	Antithrombotic agents	NA	C0042071	DB00013
ursodeoxycholate	62427	A05AA02	Bile and liver therapy	NA	C0178882	DB01586
ustekinumab	847083	L04AC05	Immunosuppressants	297.44	C1608841	DB05679
valacyclovir	73645	J05AB11	Antivirals for systemic use	10.55	C0249458	DB00577
valdecoxib	278567	M01AH03	Anti-inflammatory and antirheumatic products	2.89	C0913246	NA
valganciclovir	275891	J05AB14	Antivirals for systemic use	73.31	C0909381	DB01610
valproate	40254	N03AG01	Antiepileptics	16.07	C0080356	DB00313
valproic acid	11118	N03AG01	Antiepileptics	1.78	C0042291	DB00313
valrubicin	31435	L01DB09	Antineoplastic agents	553.83	C0068314	DB00385
valsartan	69749	C09CA03	Agents acting on the renin-angiotensin system	2.98	C0216784	DB00177
vancomycin	11124	J01XA01	Antibacterials for systemic use	77.3	C0042313	DB00512
vardenafil	306674	G04BE09	Urologicals	8.08	C0971579	DB00862
varenicline	591622	N07BA03	Other nervous system drugs	4.62	C1569608	DB01273
vecuronium	71535	M03AC03	Muscle relaxants	9.59	C0242531	DB01339
vemurafenib	1147220	L01XE15	Antineoplastic agents	315.36	C3192263	DB08881
venlafaxine	39786	N06AX16	Psychoanaleptics	3.16	C0078569	DB00285
verapamil	11170	C08DA01	Calcium channel blockers	0.84	C0042523	DB00661
verteporfin	118886	S01LA01	Ophthalmologicals	391.87	C0387288	DB00460
vidarabine	11194	S01AD06	Ophthalmologicals	35.98	C0042646	DB00194
vigabatrin	14851	N03AG04	Antiepileptics	196.09	C0048044	DB01080
vilanterol	1424884	R03AL03	Drugs for obstructive airway diseases	8.68	C2935023	DB09082
vilazodone	1086769	N06AX24	Psychoanaleptics	4.72	C1530072	DB06684
vildagliptin	596554	A10BH02	Drugs used in diabetes	NA	C1570906	DB04876
vinblastine	11198	L01CA01	Antineoplastic agents	5.3	C0042670	DB00570
vincristine	11202	L01CA02	Antineoplastic agents	3.56	C0042679	DB00541
vindesine	11204	L01CA03	Antineoplastic agents	NA	C0042682	DB00309
vinorelbine	39541	L01CA04	Antineoplastic agents	21.69	C0078257	DB00361
voriconazole	121243	J02AC03	Antimycotics for systemic use	67.15	C0393080	DB00582
vorinostat	194337	L01XX38	Antineoplastic agents	213.92	C0672708	DB02546
vortioxetine	1455099	N06AX26	Psychoanaleptics	8.07	C3661282	DB09068
warfarin	11289	B01AA03	Antithrombotic agents	0.43	C0043031	DB00682
xylometazoline	39841	R01AA07	Nasal preparations	1.48	C0078643	DB06694
zafirlukast	114970	R03DC01	Drugs for obstructive airway diseases	2.68	C0378466	DB00549
zalcitabine	3363	J05AF03	Antivirals for systemic use	6.63	C0012132	DB00943
zaleplon	74667	N05CF03	Psycholeptics	1.59	C0251504	DB00962
zanamivir	69722	J05AH01	Antivirals for systemic use	9.18	C0216660	DB00558
zidovudine	11413	J05AF01	Antivirals for systemic use	25.76	C0043474	DB00495
zileuton	40575	NA	NA	24.68	C0081408	DB00744
ziprasidone	115698	N05AE04	Psycholeptics	10.67	C0380393	DB00246
zoledronic acid	77655	M05BA08	Drugs for treatment of bone diseases	105.75	C0257685	DB00399
zolmitriptan	135775	N02CC03	Analgesics	19.17	C0528166	DB00315
zolpidem	39993	N05CF02	Psycholeptics	1.22	C0078839	DB00425
zomepirac	39994	M01AB04	Anti-inflammatory and antirheumatic products	NA	C0078840	NA
zonisamide	39998	N03AX15	Antiepileptics	1.93	C0078844	DB00909
zopiclone	40001	N05CF01	Psycholeptics	NA	C0078847	DB01198
zuclopenthixol	114176	N05AF05	Psycholeptics	NA	C0376160	DB01624
